PlotID,Trt,DW,CHL,LA,FW,N,P,K,Mg,Ca,S,Na,Fe,Mn,B,Cu,Zn
3001,LN,4.14,218.4,768.1,17.6,1.76,0.34,2.35,0.17,0.52,0.13,0.003,61,58,18,7,22
3003,LN,4.32,237.3,832.0,16.15,1.58,0.42,2.16,0.2,0.32,0.18,0.001,54,53,14,5,13
3005,LN,5.26,199.4,953.7,20.65,1.92,0.38,2.5,0.17,0.44,0.17,0.001,82,43,17,15,33
3007,LN,6.02,211.3,1239.4,25.7,1.58,0.29,2.39,0.18,0.33,0.16,0.001,53,30,10,5,13
3009,LN,4.67,312.0,932.7,20.35,1.9,0.34,2.88,0.14,0.39,0.14,0.002,92,54,12,7,14
3011,LN,10.72,482.4,1412.6,34.10000001,2.99,0.45,2.03,0.14,0.44,0.32,0.002,129,82,16,15,27
3013,LN,6.26,332.3,979.7,19.7,2.21,0.28,2.32,0.09,0.34,0.17,0.001,97,41,11,8,12
3015,LN,3.85,351.1,672.1,13.35,2.22,0.61,2.41,0.3,0.51,0.23,0.001,76,48,18,10,38
3017,LN,5.52,201.6,971.6,20.6,1.37,0.47,2.34,0.13,0.41,0.17,0.001,60,37,23,6,13
3019,LN,5.92,444.8,964.6,20.1,2.52,0.41,2.13,0.29,0.77,0.21,0.002,89,151,24,11,53
3021,LN,3.42,302.5,623.9,11.65,1.84,0.46,1.6,0.18,0.4,0.22,0.0023,77,33,17,8,15
3023,LN,7.82,237.8,1294.2,27.55,1.42,0.29,2.05,0.28,0.51,0.15,0.003,62,70,15,8,27
3025,LN,6.54,235.4,1304.1,24.55,1.48,0.25,2.05,0.15,0.39,0.11,0.002,58,51,19,7,16
3027,LN,7.25,324.7,1150.8,28.7,1.99,0.42,2.24,0.19,0.34,0.14,0.002,67,53,12,7,18
3029,LN,7.32,314.2,1184.0,29.85,1.66,0.32,2.36,0.13,0.33,0.12,0.002,60,39,12,5,15
3031,LN,4.27,315.8,799.2,15.75,1.87,0.32,1.83,0.25,0.39,0.17,0.002,66,21,14,7,16
3033,LN,6.83,253.4,1214.5,27.95,1.5,0.26,2.65,0.16,0.33,0.14,0.002,67,28,12,7,13
3035,LN,5.08,226.6,1065.7,21.25,1.55,0.27,2.65,0.12,0.32,0.13,0.002,68,27,14,7,22
3037,LN,5.63,312.5,959.7,19.1,1.93,0.31,1.86,0.17,0.43,0.16,0.001,65,72,17,8,12
3039,LN,8.69,269.2,1559.4,32.55,1.49,0.26,2.07,0.15,0.42,0.11,0.002,60,45,15,5,13
3041,LN,4.55,223.1,1044.7,18.3,1.57,0.41,2.24,0.14,0.27,0.13,0.001,60,36,14,5,14
3043,LN,6.63,198.6,1207.3,25,1.7,0.35,2.21,0.1,0.29,0.12,0.001,61,38,34,6,16
3045,LN,3.07,290.2,550.3,10.85,2.09,0.39,2.15,0.17,0.35,0.14,0.002,83,43,12,5,12
3047,LN,6.59,278.2,1183.1,29.4,1.97,0.32,3.32,0.23,0.36,0.15,0.001,79,56,16,6,17
3049,LN,6.99,198.2,1310.3,32.19999999,1.41,0.27,2.58,0.19,0.36,0.12,0.001,62,67,11,4,18
3051,LN,9.32,303.6,1717.2,34.74999999,1.65,0.26,2.33,0.13,0.37,0.12,0.001,64,53,17,5,16
3053,LN,7.85,225.3,1397.9,35.49999999,1.45,0.26,2.87,0.12,0.28,0.12,0.001,58,41,15,5,15
3055,LN,7.91,230.6,1538.1,32.49999999,1.44,0.29,2.18,0.145,0.38,0.11,0.001,58,49,16,5,14
3057,LN,7.18,160.2,1231.6,31.25000001,1.1,0.24,2.38,0.1,0.39,0.10,0.001,54,48,7,4,16
3059,LN,7.74,309.7,1203.8,33.15,1.79,0.33,2.89,0.16,0.31,0.16,0.001,66,39,13,7,22
3061,LN,9.52,210.4,1500.9,43.44999999,1.31,0.28,2.83,0.19,0.49,0.10,0.002,56,48,10,6,20
3063,LN,6.01,194.2,1285.7,28.9,1.48,0.35,3.06,0.17,0.34,0.10,0.001,54,29,9,4,11
3067,LN,9.37,231.9,1633.4,41.15000001,1.92,0.42,2.59,0.11,0.48,0.24,0.001,104,55,14,7,16
3069,LN,7.09,244.2,1297.5,31.35,1.52,0.3,2.63,0.19,0.35,0.12,0.001,62,43,10,6,24
3071,LN,6.63,263.6,1312.1,30,1.66,0.33,2.77,0.16,0.49,0.14,0.001,64,60,12,6,18
3073,LN,7.49,176.4,1370.7,28.1,1.19,0.32,2.57,0.1,0.34,0.11,0.001,49,28,11,4,12
3075,LN,3.6,351.4,634.7,13.2,1.8,0.3,2.33,0.13,0.33,0.13,0.001,72,64,17,5,20
3077,LN,6.42,282.5,1033.0,23.55,1.71,0.24,2.32,0.12,0.26,0.12,0.001,56,38,14,4,16
3079,LN,5.27,203.1,969.3,22.8,1.73,0.32,2.79,0.14,0.4,0.15,0.001,72,49,11,6,17
3081,LN,5.67,198.5,1256.8,25.4,1.57,0.26,2.76,0.17,0.33,0.12,0.001,51,36,10,5,17
3083,LN,5.09,421.1,829.3,19.85,2.26,0.61,2.6,0.13,0.25,0.17,0.001,85,48,22,9,28
3085,LN,4.34,213.7,986.6,17.8,1.66,0.34,2.4,0.14,0.26,0.12,0.001,67,62,13,6,18
3087,LN,7.52,242.8,1410.8,33.80000001,1.4,0.36,3.11,0.17,0.37,0.11,0.001,56,33,16,5,16
3089,LN,6.52,230.6,1236.4,27.25,1.47,0.29,2.05,0.17,0.53,0.13,0.001,56,53,15,6,13
3091,LN,7.85,344.3,1404.8,31.10000001,2.05,0.44,2.03,0.3,0.59,0.18,0.001,83,38,21,9,19
3093,LN,8.72,346.3,1385.1,33.99999999,2.47,0.41,2.69,0.11,0.37,0.36,0.001,138,64,15,8,26
3095,LN,9.12,299.2,1607.1,37.55000001,1.81,0.24,2.79,0.13,0.32,0.15,0.001,74,29,13,8,12
3101,LN,4.44,204.7,757.8,15.15,1.36,0.21,1.76,0.13,0.27,0.11,0.001,43,38,10,3,13
3103,LN,3.57,287.1,775.2,14.5,1.94,0.3,2.25,0.09,0.3,0.12,0.001,49,57,25,4,16
3105,LN,7.63,290.1,1416.8,30,1.53,0.25,1.91,0.13,0.35,0.1,0.001,53,53,13,5,15
3107,LN,5.59,292.4,1094.4,23.4,1.68,0.26,2.98,0.1,0.23,0.11,0.001,66,49,15,8,18
3109,LN,5.21,207.5,968.8,17.8,1.31,0.23,1.9,0.1,0.24,0.1,0.002,44,34,12,4,14
3111,LN,3.18,363.9,544.0,11.7,2.21,0.32,1.74,0.11,0.27,0.17,0.002,77,12,18,7,16
3113,LN,7.78,324.7,1206.7,29.15,1.79,0.32,2.41,0.1,0.33,0.14,0.003,55,51,10,6,19
3115,LN,6.44,274.2,1133.2,22.5,1.6,0.24,1.68,0.17,0.42,0.12,0.001,67,73,10,5,15
3117,LN,8.93,271.2,1575.7,36.84999999,1.57,0.27,2.13,0.1,0.26,0.12,0.001,53,43,15,4,25
3119,LN,4.65,513.0,693.3,19,2.91,0.45,2.48,0.11,0.32,0.18,0.001,80,75,13,11,38
3121,LN,4.04,292.8,682.1,14.55,2.32,0.28,1.77,0.13,0.35,0.18,0.001,87,11,13,7,20
3123,LN,6.52,460.8,1047.8,23.05,2.53,0.51,2.17,0.06,0.27,0.17,0.002,85,52,15,9,15
3125,LN,2.85,248.3,670.0,11.8,1.66,0.26,1.83,0.15,0.21,0.13,0.003,55,18,15,5,19
3127,LN,5.55,416.9,1017.3,19.35,1.84,0.29,1.6,0.22,0.52,0.16,0.002,71,47,25,7,19
3129,LN,7.56,287.5,1266.6,27.7,1.6,0.26,2.25,0.09,0.33,0.13,0.002,61,72,17,7,17
3131,LN,5.67,320.6,901.5,19.95,1.77,0.32,1.64,0.21,0.43,0.15,0.001,57,51,24,6,18
3133,LN,5.62,348.5,1035.9,24,2.06,0.37,2.17,0.08,0.28,0.14,0.001,70,47,14,6,19
3135,LN,6.88,251.8,1131.7,23.5,1.63,0.21,1.42,0.15,0.42,0.14,0.003,57,51,10,6,12
3137,LN,3.31,387.4,537.9,10.15,1.78,0.23,1.85,0.12,0.33,0.14,0.002,56,65,16,5,18
3139,LN,5.67,374.9,858.8,18.75,2.21,0.34,1.82,0.15,0.38,0.15,0.001,76,89,29,7,30
3141,LN,9.72,287.0,1750.1,36.99999999,1.88,0.23,2.03,0.11,0.35,0.11,0.001,58,49,14,5,13
3143,LN,3.71,269.4,722.1,13.2,1.77,0.26,1.79,0.16,0.35,0.13,0.001,62,65,27,6,18
3145,LN,5.12,312.7,1030.7,20.9,2.14,0.26,2.57,0.19,0.41,0.15,0.002,67,59,16,8,18
3147,LN,8.05,303.8,1341.8,27.15,1.89,0.25,2.33,0.16,0.47,0.14,0.001,61,69,15,7,13
3149,LN,8.97,196.2,1680.6,39.95000001,2.41,0.4,2.66,0.14,0.25,0.12,0.001,60,40,15,6,14
3151,LN,6.72,274.7,1246.7,28.35,1.88,0.37,2.65,0.1,0.27,0.14,0.001,55,18,17,6,12
3153,LN,5.65,204.9,1232.1,28.1,1.62,0.3,2.36,0.23,0.46,0.11,0.001,69,41,17,7,13
3155,LN,8.35,260.5,1547.0,37.65,1.94,0.29,2.47,0.1,0.43,0.18,0.001,90,46,11,6,14
3157,LN,8.73,310.7,1500.2,37.85000001,1.84,0.24,1.95,0.18,0.32,0.13,0.001,64,41,12,6,12
3159,LN,8.32,264.6,1356.6,35.19999999,1.75,0.25,2.27,0.21,0.53,0.12,0.001,67,46,10,5,12
